== List ==
{| class="wikitable"
|[[Kingdom of Tokšahalna]]
|[[King of Tokšahalna]]
|-
|[[Ketwa Anoa'oa]]
|~8 years
|51 PC –  59 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Vincenzo Barozzo]]
|~8 years
|7-2 49 PC - 56 PC
|[[La Rossa]]
|[[Dux of La Rossa]]
|-
|[[Gur-Kol]]
|~8 years
|2-10 22 PC – 31 PC
|[[Empire of Faltir]]
|[[Minister of Foreign Affairs of Faltir]] (until 26 PC)<br>[[Uchkrot of Faltir]] (after 26 PC)
|-
|[[Circo]]
|~8 years
|14-5 20 PC – 26 PC
|[[Isles of Joy]]
|Face of State
|-
|[[Leo Minestrici di Mineria]]
| 7 years, 297 days
|10-4 41 PC - 7-2 49 PC
|[[La Rossa]]
|[[Dux of La Rossa]]
|-
|[[Siche Cujaen]]
|7 years, 249 days
|24-4 11 PC – 13-1 19 PC
|[[Caseic Federation]]
|[[Federal Foreign Minister]]
|-
|[[Hia El]]
|7 years, 228 days
|9-12 16 PC –27-6 24 PC
|[[Republic of Utlia]]
|[[President of Utlia]]
|-
|[[Kost Mitlason]]
|7 years, 103 days
|3-1 11 PC – 16-4 18 PC
|[[Confederated Nations of Niueyjar]]
|[[Council Head of the Council of Directors of the Confederated Nations of Niueyjar]] (until 30-3 18 PC)<br>none (after 30-3 18 PC)
|-
|[[Ara Deram]]
|~7 years (total)<br>2 years, 21 days (first time)<br>~5 years (second time)
1 day (third time)
|26-6 24 PC – 17-7 26 PC (first time)<br>13-1 39 PC – 44 PC (second time)
30-4 45 PC (third time)
|[[Kingdom of Akaria]]
|[[Living Caretaker]] (first time)<br>[[Living King]] (second time)
|-
|[[Tol-Kunza Q'zar]]
|~7 years
|22-5 43 PC – 50 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Heidr Gullveigdaughter]]
|6 years, 280 days
|23-3 4 PC – 3-1 11 PC
|[[Nation of Niueyjar]] (until 8-11 7 PC)<br>[[Confederated Nations of Niueyjar]] (from 8-11 7 PC)
|[[Empress of Niueyjar]] (until 8-11 7 PC)<br>[[Council Head of the Council of Directors of the Confederated Nations of Niueyjar]] (after 8-11 7 PC)
|-
|[[Briac Nachisi]]
|6 years, 243 days
|17-12 32 PC – 20-7 39 PC
|[[Caseic Federation]]
|[[Federal Foreign Minister]]
|-
|[[Set Agreement]]
|6 years, 34 days
|28-3 23 PC – 25-2 29 PC
|[[Haute eee]]
|[[Roy of Haute eee]]
|-
|[[Giulio Moretti]]
|{{#invoke:AttuCalendar|years_between|7-2 57 PC|present}} years
|57 PC – present
|[[La Rossa]]
|[[Dux of La Rossa]]
|-
|[[Reto Heyel]]
|{{#invoke:AttuCalendar|years_between|1-1 57 PC|present}} years
|57 PC – present
|[[Republic of Utlia]]
|Head of Utlian Communications, Head Overseer of Einru
|-
|[[Sar-Kaf]]
|~5 years (total)
~1 year (first time) <br>~4 years (second time)
|21-2 29 PC – 30 PC (first time) <br>6-6 44 PC – 48 PC (second time)
|[[Faltiran Empire]]
|[[Emperor of Faltir]]
|-
|[[Spyron]]
|~5 years
|20-5 9 PC – 14 PC
|[[Serene Union of Spyron]]
|Emperor of Spyron
|-
|[[Takal Vedares]]
|~5 years
|late 50 PC – 55 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Řiselan]]
|{{#invoke:AttuCalendar|years_between|1-1 58 PC|present}} years
|58 PC  – present
|[[Goyhalna|Kingdom of Goyhalna]]
|[[King of Goyhalna]] (acting)
|-
|[[Kur-Gal]]
|4 years, 215 days
|18-2 1 PC – 23-9 5 PC
|[[Holy Republic of Faltir]] 
|[[Othkrot of Faltir]]
|-
|[[Artak Arkara]]
|4 years, 165 days
|11-1 20 PC – 26-6 24 PC
|[[Kingdom of Akaria]]
|[[Living King]]
|-
|[[Tainin Vedares]]
|~4 years
|55 PC – 59 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Sébastien Duval]]
|~4 years
|57 PC – 61 PC
|N/A
|Uninvited Journalist
|-
|[[Kenpu Nan]]
|{{#invoke:AttuCalendar|years_between|1-1 59 PC|present}} years
|59 PC  – present
|[[Kalam]]
|IgRS Speaker
|-
|[[Turen Weresame]]
|3 years, 280 days
|7-4 10 PC – 14-1 14 PC
|[[Collective Kelelemi Republic]]
|[[President of the Collective Kelelemi Republic]]
|-
|[[Pak Goose Step]]
|~3 years
|7 PC – 20-12 10 PC
|[[Siô eee]]
|mLât of [[Siô eee]]
|-
|[[Council of Steamworks]]
|~3 years
|5-12 26 PC – 29 PC
|[[Steamworks]]
|[[Council of Steamworks]]
|-
|[[Wlykalt Syenter]]
|~3 years
|52 PC – 55 PC
|[[Republic of Utlia]]
|[[President of Utlia]]
|-
|[[Klemens Joachim]]
|{{#invoke:AttuCalendar|years_between|1-1 60 PC|present}} years
|60 PC  – present
|Empire of Wälstanland
|Minister of the Foreign Affairs Office
|-
|[[Aer-Friar]]
|2 years, 41 days
|23-9 5 PC – 4-11 7 PC
|[[United Airfryer Enterprise]]
|President of The [[United Airfryer Enterprise]]
|-
|[[Nur-Ad]]
|~2 years
|20 PC – 22 PC
|[[Mirest League]]
|[[Doge of the Mirest League]]
|-
|[[Aracet Teren]]
|~2 years
|55 PC – 57 PC
|[[Republic of Utlia]]
|[[President of Utlia]]
|-
|[[Robete Guresone]]
|1 year, 311 days (total)<br>1 year, 276 days (first time)<br>35 days (second time)
|22-4 8 PC – 28-1 10 PC (first time)<br>2-3 10 PC – 7-4 10 PC (second time)
|[[Collective Kelelemi Republic]]
|[[President of the Collective Kelelemi Republic]]
|-
|[[Rited Teseman]]
|1 year, 291 days
|23-3 12 PC – 14-1 14 PC
|[[Republic of Sorewi]]
|[[President of Sorewi]]
|-
|[[Gap Kutipir]]
|1 year, 83 days
|18-2 1 PC – 19-5 2 PC
|[[Haute eee]]
|[[Roy of Haute eee]]
|-
|[[Vok Ulri]]
|1 year, 34 days
|25-2 22 PC – 28-3 23 PC
|[[Haute eee]]
|[[Roy of Haute eee]]
|-
|[[Phước Goose Step]]
|~1 year
|19-4 29 PC – 30 PC
|[[Haute eee]]
|[[Roy of Haute eee]]
|-
|[[Anmo Anoa'oa]]
|~1 year
|late 50 PC – 51 PC
|[[Kalam]]
|Member of the [[Council of Elders]]
|-
|[[Areen Leshen]]
|271 days
|8-2 42 PC – 9-11 42 PC
|[[Republic of Utlia]]
|Member of Provisional Government
|-
|[[Bartolomeo Marone]]
|~6 months
| 56 PC - 7-2 57 PC
|[[La Rossa]]
|[[Dux of La Rossa]]
|-
|[[Lodwyn Elsteay]]
|60 days
|9-11 42 PC – 9-1 43 PC
|[[Republic of Utlia]]
|Member of Provisional Government
|-
|[[Adama Hadetono|Adama Hodetono]]
|35 days
|28-1 10 PC – 2-3 10 PC
|[[Collective Kelelemi Republic]]
|[[Prime Minister of the Collective Kelelemi Republic]]
|-
|[[Votan Lainya]]
|6 days
|3-12 16 PC – 9-12 16 PC
|[[Republic of Utlia]]
|[[Lt. President of Utlia]]
|-
|[[Mateo Keating]]
|1 day
|11-2 35 PC
|[[Kingdom of Tietero]]
|[[Reĝido of Tietero]]
|}

== Timeline ==
{{#invoke:Timeline|main
|data=List_of_IgRS_Speakers_by_time_as_Speaker/Timeline
|period_start=1-1 1 PC
|period_end=present
}}
[[Category:Speakers for the Inter-governmental Radio System]]
